,Pathes,sequence_name,corresponding_img,sequence_type,One_class_SVM,IsolationForest,LocalOutlierFactor, EllipticEnvelope,statistical_method,Voting outliers (from 5)
9,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_2_1_1_20180920_112847/5,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_11_2_1_1_20180920_112847_10.png,functional,True,False,True,False,False,2
12,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_5_3_1_1_20180111_123437/6,<BRUKER:EPI><4_GRE_FMRI_DYNAMIC>,rsfMRI_SP_T1_5_3_1_1_20180111_123437_13.png,functional,False,True,True,False,False,2
14,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_5_1_1_1_20180111_105123/7,<BRUKER:EPI><4_GRE_FMRI_DYNAMIC>,rsfMRI_SP_T1_5_1_1_1_20180111_105123_15.png,functional,False,True,False,True,False,2
3,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_3_1_1_20180920_131128/12,<BRUKER:DTIEPI><6_EPI_DTI_BIS>,DTI_SP_V1_11_3_1_1_20180920_131128_4.png,structural,True,False,False,False,False,1
10,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_1_1_1_20180920_100903/7,<BRUKER:DTIEPI><6_EPI_DTI_BIS>,DTI_SP_V1_11_1_1_1_20180920_100903_11.png,structural,True,False,False,False,False,1
13,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_8_1_1_1_20180111_164048/7,<BRUKER:DTIEPI><6_EPI_DTI_BIS>,DTI_SP_T1_8_1_1_1_20180111_164048_14.png,structural,False,False,True,False,False,1
14,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_5_1_1_1_20180111_105123/8,<BRUKER:DTIEPI><6_EPI_DTI_BIS>,DTI_SP_T1_5_1_1_1_20180111_105123_15.png,structural,False,True,False,True,False,2
16,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/surfacecoil/GV_T3_13_5_1_2_20190809_110751/7,<BRUKER:DTIEPI><6_EPI_DTI_BIS>,DTI_GV_T3_13_5_1_2_20190809_110751_17.png,structural,False,True,False,False,False,1
21,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/surfacecoil/GV_T3_15_3_1_1_20190903_094421/8,<BRUKER:DTIEPI><6_EPI_DTI_BIS>,DTI_GV_T3_15_3_1_1_20190903_094421_22.png,structural,False,False,True,False,False,1
16,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/surfacecoil/GV_T3_13_5_1_2_20190809_110751/5,<BRUKER:RARE><3_TURBORARECORONALTEMPLATE>,T2w_GV_T3_13_5_1_2_20190809_110751_17.png,anatomical,True,True,False,True,False,3
19,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/surfacecoil/GV_T3_17_3_1_1_20190904_101208/6,<BRUKER:RARE><3_TURBORARECORONALTEMPLATE>,T2w_GV_T3_17_3_1_1_20190904_101208_20.png,anatomical,False,False,True,False,False,1
20,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/surfacecoil/GV_T3_17_2_1_1_20190904_092536/5,<BRUKER:RARE><3_TURBORARECORONALTEMPLATE>,T2w_GV_T3_17_2_1_1_20190904_092536_21.png,anatomical,False,True,True,False,False,2
